Name	Link
APPLE MACBOOK PRO 13 TOUCHBAR (MYD92SA/A) (APPLE M1/8GB RAM/512GB SSD/13.3 INCH IPS/MAC OS/XÁM) (NEW)	https://www.hanoicomputer.vn/apple-macbook-pro-13-touchbar-myd92sa-a-xam-new
APPLE MACBOOK PRO 13 TOUCHBAR (MYDC2SA/A) (APPLE M1/8GB RAM/512GB SSD/13.3 INCH IPS/MAC OS/BẠC) (NEW)	https://www.hanoicomputer.vn/apple-macbook-pro-13-touchbar-mydc2sa-a-bac-new
LAPTOP DELL INSPIRON N7306 (P125G002N7306A) (I7 1165G7 16GB RAM/512GB SSD/13.3 INCH UHD TOUCH/BÚT CẢM ỨNG/WIN10/ĐEN)	https://www.hanoicomputer.vn/laptop-dell-inspiron-n7306-p125g002n7306a-den
LAPTOP DELL VOSTRO 5402 (70231338) (I7 1165G7 16GBRAM/512GB SSD/MX330 2G/14.0 INCH FHD/WIN10/XÁM)	https://www.hanoicomputer.vn/laptop-dell-vostro-5402-70231338-xam
LAPTOP DELL INSPIRON 3505 (Y1N1T1) (R3 3250U 8GB RAM/256GB SSD/15.6 INCH FHD/WIN10/ĐEN)	https://www.hanoicomputer.vn/laptop-dell-inspiron-3505-y1n1t1-r3-3250u-8gb-ram-256gb-ssd-15.6-inch-fhd-win10-den
LAPTOP DELL INSPIRON 5301 (7023601) (I7 1165G7 8GBRAM/512GB SSD/MX350 2G/13.3 INCH FHD/WIN10/BẠC)	https://www.hanoicomputer.vn/laptop-dell-inspiron-5301-7023601-i7-1165g7-8gb-ram-512gb-ssd-mx350-2g-13.3-inch-fhd-win10-bac
LAPTOP LENOVO YOGA SLIM 7 14ITL05 (82A3002QVN) (I5 1135G7/8GB RAM/512GB SSD/14 FHD/WIN/XANH RÊU)	https://www.hanoicomputer.vn/laptop-lenovo-yoga-slim-7-14itl05-82a3002qvn-xanh-reu
LAPTOP HP PROBOOK 450 G8 (2H0Y1PA) (I7 1165G7/16GB RAM/512GB SSD /15.6 FHD/MX450 2GB/WIN/BẠC)	https://www.hanoicomputer.vn/laptop-hp-probook-450-g8-2h0y1pa-bac
LAPTOP DELL VOSTRO 3405 (70227396) (R7 3700U 8GB RAM/512GB SSD/14.0 INCH FHD/WIN10/ĐEN)	https://www.hanoicomputer.vn/laptop-dell-vostro-3405-70227396-den
LAPTOP ACER ASPIRE A315-57G-524Z (NX.HZRSV.009) (I5 1035G1/8GBRAM/512GB SSD/MX330 2G/15.6 INCH FHD/ WIN 10/ĐEN)	https://www.hanoicomputer.vn/laptop-acer-aspire-a315-57g-524z-nxhzrsv009-den
LAPTOP ASUS ZENBOOK UX363EA-HP130T (I5 1135G7/8GB RAM/512B SSD/13.3 FHD CẢM ỨNG/WIN10/BÚT/TÚI/XÁM)	https://www.hanoicomputer.vn/laptop-asus-zenbook-ux363ea-hp130t-i5-1135g7-8gb-ram-512b-ssd-13.3-fhd-win10-bac
LAPTOP DELL VOSTRO 5502 (NT0X01) (I5 1135G7 8GB RAM/512GBSSD/MX330 2G/15.6 INCH FHD/WIN10/XÁM)	https://www.hanoicomputer.vn/laptop-dell-vostro-5502-nt0x01-xam
LAPTOP DELL VOSTRO 5502 (70231340) (I5 1135G7 8GB RAM/256GBSSD/15.6 INCH FHD/WIN10/XÁM)	https://www.hanoicomputer.vn/laptop-dell-vostro-5502-70231340-xam
LAPTOP DELL VOSTRO 5301 (V3I7129W) (I7 1165G7 8GBRAM/512GB SSD/MX350 2G/13.3 INCH FHD/WIN10/XÁM)	https://www.hanoicomputer.vn/laptop-dell-vostro-5301-v3i7129w-xam
LAPTOP DELL INSPIRON 5502 (1XGR11) (I5 1135G7 8GB RAM/512GB SSD/15.6 INCH FHD/WIN10/BẠC)	https://www.hanoicomputer.vn/laptop-dell-inspiron-5502-1xgr11-bac
LAPTOP DELL INSPIRON 7501 (N5I5012W) (I5 10300H/8GB RAM/ 512GB SSD/GTX1650TI 4G/15.6FHD/WIN 10/BẠC)	https://www.hanoicomputer.vn/laptop-dell-inspiron-7501-n5i5012w-bac
LAPTOP DELL INSPIRON 5406 (N4I5047W) (I5 1135G7/8GB RAM/ 512GB SSD/MX330 2G/14.0FHD TOUCH/WIN 10/XÁM)	https://www.hanoicomputer.vn/laptop-dell-inspiron-5406-n4i5047w-xam
LAPTOP DELL INSPIRON 5406 (TYCJN1) (I7 1165G7/8GB RAM/ 512GB SSD/MX330 2G/14.0FHD TOUCH/WIN 10/XÁM)	https://www.hanoicomputer.vn/laptop-dell-inspiron-5406-tycjn1-xam
LAPTOP ACER ASPIRE A315-57G-31YD (NX.HZRSV.008) (I3 1005G1/4GB RAM/256GB SSD/MX330 2G/15.6 INCH FHD/WIN 10/ĐEN)	https://www.hanoicomputer.vn/laptop-acer-aspire-a315-57g-31yd-nx-hzrsv-008-den
LAPTOP LENOVO THINKBOOK 13S GEN2-ITL (20V9002GVN) (I7 1165G7/8GB RAM/512GB SSD/13.3 FHD/WIN/XÁM)	https://www.hanoicomputer.vn/laptop-lenovo-thinkbook-13s-gen2-itl-20v9002gvn-xam
LAPTOP ACER ASPIRE A315-56-502X (NX.HS5SV.00F) (I5 1035G1/4GBRAM/256GB SSD/15.6 INCH FHD IPS/ WIN 10/ĐEN)	https://www.hanoicomputer.vn/laptop-acer-aspire-a315-56-502x-nx-hs5sv-00f-den
LAPTOP ASUS VIVOBOOK S433EA-AM439T (I5 1135G7/8GB RAM/512GB SSD/14 FHD/WIN10/NUMPAD/ĐEN)	https://www.hanoicomputer.vn/laptop-asus-vivobook-s433ea-am439t-den
LAPTOP AVITA LIBER V14B (NS14B8VNR571-CGB) (I7 10510U/8GB RAM/1TB SSD/14.0 INCH FHD/WIN10/VÀNG)	https://www.hanoicomputer.vn/laptop-avita-liber-v14b-ns14b8vnr571-cgb-vang
LAPTOP DELL VOSTRO 3400 (70235020) (I3 1115G4/8GB RAM/256GB SSD/14.0 INCH FHD/WIN10/ĐEN)	https://www.hanoicomputer.vn/laptop-dell-vostro-3400-70235020-den
LAPTOP DELL VOSTRO 15 3500 (7G3981) (I5 1135G7/8GB RAM/256GB SSD/15.6 INCH FHD/WIN10/ĐEN)	https://www.hanoicomputer.vn/laptop-dell-vostro-15-3500-7g3981-den
