Name	Producer	CPU	RAM	DISK	GPU	DISPLAY	Old Price	New Price
Surface Laptop Go (THJ-00024)(i5 1035G1/8GB RAM/256GB SSD/12.4 Cảm ứng/Win 10/Xanh)(Bảo hành tại HACOM)	Microsoft Surface	Intel Core i5 1035G1	8GB	256GB SSD	Onboard	12.4 inch cảm ứng	27269000	21499000
Laptop HP Envy 13-ba1030TU (2K0B6PA) (i7 1165G7/8GB RAM/512GB SSD/13.3 inch FHD/FP/Win10/Office/Vàng)	Laptop HP	Intel Core i7 1165G7	8GB	512GB SSD	Onboard	13.3 inch FHD	30399000	29999000
Laptop MSI Prestige 14 EVO A11M 089VN (i7 1185G7/16GB RAM/512GBSSD/14.0 inch FHD/Win10/Xám)	Laptop MSI	Intel Core i7 1185G7	16GB	512GB SSD	Onboard	14 inch FHD	30289000	28999000
Laptop MSI Gaming Bravo 15 A4DCR (270VN) (R5-4600H/8GB RAM/256GBSSD/RX 5300 3GB/15.6 inch FHD 144Hz/Win 10/Đen) (2020)	Laptop MSI	AMD Ryzen 5 4600H	8GB	256GB SSD	Radeon RX5300 3GB	15.6 inch FHD 144hz	19689000	18679000
Laptop Acer Aspire 5 A515-56-54PK (NX.A1GSV.002) (i5 1135G7/8GB RAM/512GB SSD/15.6 inch FHD/Win10/Bạc)	Laptop Acer	Intel Core i5 1135G7	8GB	512GB SSD	Onboard	15.6 inch FHD	18679000	18099000
Laptop Acer Aspire 5 A514-54-540F (NX.A28SV.005) (i5 1135G7/8GB RAM/512GB SSD/14.0 inch FHD/Win10/Bạc)	Laptop Acer	Intel Core i5 1135G7	8GB	512GB SSD	Onboard	14 inch FHD	18679000	18489000
Laptop Dell Vostro 3405 (V4R53500U001W) (R5 3500U 4GB RAM/256GB SSD/14.0 inch FHD/Win10/Đen)	Laptop Dell	AMD R5 3500U	4GB	256GB SSD	Onboard	14 inch FHD	16499000	14999000
Laptop Dell Vostro 3405 (V4R53500U003W) (R5 3500U 8GB RAM/512GB SSD/14.0 inch FHD/Win10/Đen)	Laptop Dell	AMD R5 3500U	8GB	512GB SSD	Onboard	14 inch FHD	18499000	16699000
Laptop Dell Inspiron 7306 (N3I5202W) (i5 1135G7 8GB RAM/512GB SSD/13.3 inch FHD 300nits Touch/Bút cảm ứng/Win10/Đen)	Laptop Dell	Intel Core i5 1135G7	8GB	512GB SSD	Onboard	13.3 inch FHD Touch	27969000	27069000
Apple Macbook Air 13 (MGN63SA/A) (Apple M1/8GB RAM/256GB SSD/13.3 inch IPS/Mac OS/Xám) (NEW)	Macbook	Apple M1	8GB	256GB SSD	Onboard	13.3 inch Retina IPS	27259000	25699000
Apple Macbook Air 13 (MGN93SA/A) (Apple M1/8GB RAM/256GB SSD/13.3 inch IPS/Mac OS/Bạc) (NEW)	Macbook	Apple M1	8GB	256GB SSD	Onboard	13.3 inch Retina IPS	27259000	25699000
Apple Macbook Air 13 (MGND3SA/A) (Apple M1/8GB RAM/256GB SSD/13.3 inch IPS/Mac OS/Vàng) (NEW)	Macbook	Apple M1	8GB	256GB SSD	Onboard	13.3 inch Retina IPS	27259000	25699000
Apple Macbook Air 13 (MGN73SA/A) (Apple M1/8GB RAM/512GB SSD/13.3 inch IPS/Mac OS/Xám) (NEW)	Macbook	Apple M1	8GB	512GB SSD	Onboard	13.3 inch Retina IPS	34329000	32309000
Apple Macbook Pro 13 Touchbar (MYD82SA/A) (Apple M1/8GB RAM/256GB SSD/13.3 inch IPS/Mac OS/Xám) (NEW)	Macbook	Apple M1	8GB	256GB SSD	Onboard	13.3 inch Retina IPS	35339000	32989000
Apple Macbook Pro 13 Touchbar (MYD92SA/A) (Apple M1/8GB RAM/512GB SSD/13.3 inch IPS/Mac OS/Xám) (NEW)	Macbook	Apple M1	8GB	512GB SSD	Onboard	13.3 inch Retina IPS	40389000	38069000
Apple Macbook Pro 13 Touchbar (MYDC2SA/A) (Apple M1/8GB RAM/512GB SSD/13.3 inch IPS/Mac OS/Bạc) (NEW)	Macbook	Apple M1	8GB	512GB SSD	Onboard	13.3 inch Retina IPS	40389000	38069000
Laptop Dell Inspiron N7306 (P125G002N7306A) (i7 1165G7 16GB RAM/512GB SSD/13.3 inch UHD Touch/Bút cảm ứng/Win10/Đen)	Laptop Dell	Intel Core i7 1165G7	16GB	512GB SSD	Onboard	13.3 inch 4k cảm ứng	35339000	33499000
Laptop Dell Vostro 5402 (70231338) (i7 1165G7 16GBRAM/512GB SSD/MX330 2G/14.0 inch FHD/Win10/Xám)	Laptop Dell	Intel Core i7 1165G7	16GB	512GB SSD	Nvidia MX330 2GB	14 inch FHD	28269000	26999000
Laptop Dell Inspiron 3505 (Y1N1T1) (R3 3250U 8GB RAM/256GB SSD/15.6 inch FHD/Win10/Đen)	Laptop Dell	AMD R3 3250U	8GB	256GB SSD	Onboard	15.6 inch FHD	14999000	14689000
Laptop Dell Inspiron 5301 (7023601) (i7 1165G7 8GBRAM/512GB SSD/MX350 2G/13.3 inch FHD/Win10/Bạc)	Laptop Dell	Intel Core i7 1165G7	8GB	512GB SSD	MX350 2G	13.3 inch FHD	26989000	26289000
Laptop Lenovo Yoga Slim 7 14ITL05 (82A3002QVN) (i5 1135G7/8GB RAM/512GB SSD/14 FHD/Win/Xanh rêu)	Laptop Lenovo	Intel Core i5 1135G7	8GB	512GB SSD	Onboard	14 inch FHD	23739000	22999000
Laptop HP ProBook 450 G8 (2H0Y1PA) (i7 1165G7/16GB RAM/512GB SSD /15.6 FHD/MX450 2GB/Win/Bạc)	Laptop HP	Intel Core i7 1165G7	16GB GB	512GB SSD (không có slot trống)	MX450 2GB	15.6 inch FHD	31999000	31499000
Laptop Dell Vostro 3405 (70227396) (R7 3700U 8GB RAM/512GB SSD/14.0 inch FHD/Win10/Đen)	Laptop Dell	AMD R7 3700U	8GB	512GB SSD	Onboard	14 inch FHD	18489000	17789000
Laptop Acer Aspire A315-57G-524Z (NX.HZRSV.009) (i5 1035G1/8GBRAM/512GB SSD/MX330 2G/15.6 inch FHD/ Win 10/Đen)	Laptop Acer	Intel Core i5 1035G1	8GB	512GB SSD	MX330 2G	15.6 inch FHD	17499000	16999000
Laptop Dell Vostro 5301 (V3I7129W) (i7 1165G7 8GBRAM/512GB SSD/MX350 2G/13.3 inch FHD/Win10/Xám)	Laptop Dell	Intel Core i7 1165G7	8GB	512GB SSD	MX350 2G	13.3 inch FHD	26759000	26249000
Laptop Dell Inspiron 7501 (N5I5012W) (i5 10300H/8GB RAM/ 512GB SSD/GTX1650Ti 4G/15.6FHD/Win 10/Bạc)	Laptop Dell	Intel Core i5 10300H	8GB	512GB SSD	Nvidia GTX1650Ti 4G	15.6 inch FHD	29279000	28779000
Laptop Dell Inspiron 5406 (N4I5047W) (i5 1135G7/8GB RAM/ 512GB SSD/MX330 2G/14.0FHD TOUCH/Win 10/Xám)	Laptop Dell	Intel Core i5 1135G7	8GB	512GB SSD	Nvidia MX330 2GB	14 inch FHD cảm ứng	24999000	24599000
Laptop Dell Inspiron 5406 (TYCJN1) (i7 1165G7/8GB RAM/ 512GB SSD/MX330 2G/14.0FHD Touch/Win 10/Xám)	Laptop Dell	Intel Core i7 1165G7	8GB	512GB SSD	Nvidia MX330 2GB	14 inch FHD cảm ứng	30999000	30599000
Laptop Acer Aspire A315-57G-31YD (NX.HZRSV.008) (i3 1005G1/4GB RAM/256GB SSD/MX330 2G/15.6 inch FHD/Win 10/Đen)	Laptop Acer	Intel Core i3 1005G1	4GB	256GB SSD	MX330 2G	15.6 inch FHD	13999000	13499000
Laptop Lenovo ThinkBook 13s Gen2-ITL (20V9002GVN) (i7 1165G7/8GB RAM/512GB SSD/13.3 FHD/Win/Xám)	Laptop Lenovo	Intel Core i7 1165G7	8GB	512GB SSD	Onboard	13.3 inch FHD	26499000	25999000
Laptop Acer Aspire A315-56-502X (NX.HS5SV.00F) (i5 1035G1/4GBRAM/256GB SSD/15.6 inch FHD IPS/ Win 10/Đen)	Laptop Acer	Intel Core i5 1035G1	4GB	256GB SSD	Onboard	15.6 inch FHD	14489000	14289000
Laptop Asus VivoBook S433EA-AM439T (i5 1135G7/8GB RAM/512GB SSD/14 FHD/Win10/Numpad/Đen)	Laptop Asus	Intel Core i5 1135G7	8GB	512GB SSD	Onboard	14 inch FHD	20199000	19999000
Laptop AVITA LIBER V14B (NS14B8VNR571-CGB) (i7 10510U/8GB RAM/1TB SSD/14.0 inch FHD/Win10/Vàng)	Laptop AVITA	intel i7 10510U	8GB	1TB SSD	Onboard	14 inch FHD	22219000	19999000
Laptop Dell Vostro 3400 (70235020) (i3 1115G4/8GB RAM/256GB SSD/14.0 inch FHD/Win10/Đen)	Laptop Dell	Intel Core i3 1115G4	8GB	256GB SSD	Onboard	14 inch FHD	15789000	15589000
Laptop Dell Vostro 15 3500 (7G3981) (i5 1135G7/8GB RAM/256GB SSD/15.6 inch FHD/Win10/Đen)	Laptop Dell	Intel Core i5 1135G7	8GB	256GB SSD	Onboard	15.6 inch FHD	19489000	20589000
Laptop Dell Vostro 3500 (7G3982) (i7 1165G7/8GB RAM/512GB SSD/MX330 2G/15.6 inch FHD/Win10/Đen)	Laptop Dell	Intel Core i7 1165G7	8GB	512GB SSD	Nvidia MX330 2GB	15.6 inch FHD	24999000	24499000
Laptop Dell Vostro 3400 ((YX51W2) (i5 1135G7/8GB RAM/256GB SSD/MX330 2G/14.0 inch FHD/Win10/Đen)	Laptop Dell	Intel Core i5 1135G7	8GB	256GB SSD	Nvidia MX330 2GB	14 inch FHD	22499000	20999000
Laptop HP Spectre x360 Convertible 13-aw2101TU (2K0B8PA) (i7 1165G7/16GB RAM/1TB SSD+32GB SSD/13.3 UHD Touch/Bút/Win10)	Laptop HP	Intel Core i7 1165G7	16GB	1GB SSD	Onboard	13.3 inch 4k	50499000	48999000
Laptop Dell Inspiron 3501 (70234074) (i5 1135G7 8GBRAM/512GB SSD/MX330 2G/15.6 inch FHD/Win10/Đen)	Laptop Dell	Intel Core i5 1135G7	8GB	512GB SSD	Nvidia MX330 2GB	15.6 inch FHD	22209000	21299000
Laptop Dell Inspiron 3501(70234075) (i7 1165G7 8GB RAM/512GB SSD/MX330 2G/15.6 inch FHD/Win10/Đen)	Laptop Dell	Intel Core i7 1165G7	8GB	512GB SSD	Nvidia MX330 2GB	15.6 inch FHD	25239000	24499000
Laptop Dell Vostro 15 3500 (P90F006V3500A) (i5 1135G7/4GB RAM/256GB SSD/MX330 2G/15.6 inch FHD/Win10/Đen)	Laptop Dell	Intel Core i5 1135G7	4GB	256GB SSD	Nvidia MX330 2GB	15.6 inch FHD	19599000	19299000
Laptop Dell Vostro 15 3500 (P90F006V3500B) (i5 1135G7/8GB RAM/256GB SSD/MX330 2G/15.6 inch FHD/Win10/Đen)	Laptop Dell	Intel Core i5 1135G7	8GB	256GB SSD	Nvidia MX330 2GB	15.6 inch FHD	20999000	20399000
Laptop Asus Gaming TUF FX506LH-HN002T (i5 10300H/8GB RAM/512GB SSD/15.6 FHD 144Hz /GTX 1650 4GB/Win10/Xám)	Laptop Asus	Intel Core i5 10300H	8GB	512GB SSD	NVIDIA GTX 1650 4GB	15.6 inch FHD 144Hz	22999000	21999000
Laptop MSI Gaming GF65 Thin (10UE-228VN) ( i7 10750H 16GB RAM/512GBSSD/RTX 3060 6G/15.6 inch FHD 144Hz/Win10/Đen/BA LÔ)	Laptop MSI	Intel i7 10750H	16GB	512GB SSD	NVIDIA RTX 3060 6GB	15.6 inch FHD 144Hz	33319000	32989000
Laptop MSI Gaming GF63 10SC (020VN) (i7 10750H/8GB RAM/512GBSSD/GTX1650 4G DDR6/15.6 inch FHD 144Hz/Win10)	Laptop MSI	Intel Core i7 10750H	8GB	512GB SSD	NVIDIA GTX GTX1650 4GB	15.6 inch FHD 144hz	23489000	22799000
Laptop MSI Creator 15 (A10SDT-483VN) (i7 10750H 16GB RAM/512GB SSD/GTX1660Ti 6G/15.6 inch FHD Touch/Win 10/Xám)	Laptop MSI	Intel Core i7 10750H	16GB	512GB SSD	NVIDIA GTX1660Ti 6G	15.6 inch FHD Cảm ứng	43429000	38369000
Apple Macbook Air 13 (Z124000DE) (Apple M1/16GB RAM/256GB SSD/13.3 inch IPS/Mac OS/Xám)	Macbook	Apple M1	16GB	256GB SSD	Onboard	13.3 inch Retina IPS	34329000	31509000
Apple Macbook Air 13 (Z127000DE) (Apple M1/16GB RAM/256GB SSD/13.3 inch IPS/Mac OS/Bạc)	Macbook	Apple M1	16GB	256GB SSD	Onboard	13.3 inch Retina IPS	34329000	31509000
Apple Macbook Air 13 (Z12A0004Z) (Apple M1/16GB RAM/256GB SSD/13.3 inch IPS/Mac OS/Vàng)	Macbook	Apple M1	16GB	256GB SSD	Onboard	13.3 inch Retina IPS	34329000	31509000
Apple Macbook Pro 13 Touchbar (Z11B000CT) (Apple M1/16GB RAM/256GB SSD/13.3 inch IPS/Mac OS/Xám)	Macbook	Apple M1	16GB	256GB SSD	Onboard	13.3 inch Retina IPS	42409000	38989000
Apple Macbook Pro 13 Touchbar (Z11D000E5) (Apple M1/16GB RAM/256GB SSD/13.3 inch IPS/Mac OS/Bạc)	Macbook	Apple M1	16GB	256GB SSD	Onboard	13.3 inch Retina IPS	42409000	38989000
Apple Macbook Pro 13 Touchbar (Z11C000CH) (Apple M1/16GB RAM/512GB SSD/13.3 inch IPS/Mac OS/Xám)	Macbook	Apple M1	16GB	256GB SSD	Onboard	13.3 inch Retina IPS	47459000	44429000
Apple Macbook Pro 13 Touchbar (Z11F000CF/Z11D000E7) (Apple M1/16GB RAM/512GB SSD/13.3 inch IPS/Mac OS/Bạc)	Macbook	Apple M1	16GB	512GB SSD	Onboard	13.3 inch Retina IPS	47459000	44429000
Laptop Lenovo Legion 5 Pro 16ACH6H (82JQ001VVN) (R7 5800H/16GB RAM/512GB SSD/16WXGA 165hz/RTX3060 6G/Win/Xám)	Laptop Lenovo	AMD R7 5800H	16GB	512GB SSD	NVIDIA RTX3060 6G	16 inch 2k 165Hz	44139000	42999000
Laptop Lenovo Legion 5 Pro 16ACH6H (82JQ005YVN) (R7 5800H/16GB RAM/1TB SSD/16 165hz/RTX3070 8GB/Win/Xám)	Laptop Lenovo	AMD R7 5800H	16GB	1TB SSD	NVIDIA RTX3070 8GB	16 inch FHD 165Hz	49999000	49899000
Laptop Asus Gaming ROG Strix G533QM-HF089T (Ryzen 9 5900HX/2*8GB RAM/1TB SSD/15.6 FHD 300hz/RTX 3060 6GB/Win10/Balo/Chuột/Đen)	Laptop Asus	AMDRyzen 9 5900HX	16GB	1TB SSD	NVIDIA RTX 3060 6GB	15.6 inch FHD 300hz	50499000	45999000
Laptop  Acer Aspire 3 A315-56-37DV (NX.HS5SV.001) (i3 1005G1/4GB RAM/256GB SSD/15.6 inch FHD/Win 10/Đen)	Laptop Acer	Intel Core i3 1005G1	4GB	256GB SSD	Onboard	15.6 inch FHD	12799000	12599000
Laptop Acer Gaming Nitro 5 AN515-45-R3SM (NH.QBMSV.005) (Ryzen 5 5600H /8GB Ram/512GB SSD/GTX1650 4G/15.6 inch FHD 144Hz/Win 10/Đen) (2021)	Laptop Acer	AMD Ryzen 5 5600H	8GB	512GB SSD	NVIDIA GTX1650 4G	15.6 inch FHD 144hz	23989000	22799000
Laptop Acer Gaming Nitro 5 AN515-45-R9SC (NH.QBRSV.001) (Ryzen 7 5800H /8GB Ram/512GB SSD/RTX3070 8G/15.6 inch FHD 144Hz/Win 10/Đen) (2021)	Laptop Acer	AMD Ryzen 7 5800H	8GB	512GB SSD	NVIDIA RTX3070 8G	15.6 inch FHD 144hz	40489000	37999000
"Microsoft Surface Pro 7 Plus (1N9-000011/1N9-00006) (i5 1135G7/8GB RAM/128GB SSD/12.3""/Win10/Bạc)(Bảo hành tại HACOM)"	Microsoft Surface	Intel Core i5 1135G7	8GB	128GB SSD	Onboard	12.3 inch	30399000	24999000
Laptop Asus VivoBook TM470EA-EC029T(i5 1135G7/8GB RAM/512GB SSD/14 FHD Touch/Win10/Xoay/Bạc)	Laptop Asus	Intel Core i5 1135G7	8GB	512GB SSD	Onboard	14 inch FHD Cảm ứng	18889000	18499000
Laptop Dell Inspiron 5406 2 in 1 (70232602) (i5 1135G7/8GB RAM/ 512GB SSD/14.0 inch FHD TOUCH/Win 10/Xám)	Laptop Dell	Intel Core i5 1135G7	8GB	512GB SSD	Onboard	14 inch FHD cảm ứng	24229000	22519000
"Microsoft Surface Pro 7 Plus (1NC-00021)(i7 1165G7/16GB RAM/256GB SSD/12.3""/Win10/Đen)(Bảo hành tại HACOM)"	Microsoft Surface	Intel Core i7 1165G7	16GB	256GB SSD	Onboard	12.3 inch	48479000	42999000
"Microsoft Surface Pro 7 Plus (1NC-00001/1NC-00006)(i7 1165G7/16GB RAM/256GB SSD/12.3""/Win10/Bạc)(Bảo hành tại HACOM)"	Microsoft Surface	Intel Core i7 1165G7	16GB	256GB SSD	Onboard	12.3 inch	48479000	40999000
"Microsoft Surface Pro 7 Plus (1S2-00008/1S2-00011)(i5 1135G7/8GB RAM/128GB SSD/12.3""/Win10/Bạc/LTE)(Bảo hành tại HACOM)"	Microsoft Surface	Intel Core i5 1135G7	8GB	128GB SSD	Onboard	12.3 inch	39389000	34999000
Laptop Acer Swift 3 SF313-53-518Y (NX.A4JSV.003) (i5-1135G7/16GB RAM/512GB SSD/13.5 inch QHD/Win10/Bạc)	Laptop Acer	Intel Core i5 1135G7	16GB	512GB SSD	Onboard	13.5 inch QHD IPS	24229000	22499000
Laptop Asus Gaming ROG Strix G533QR-HQ098T (Ryzen 9 5900HX/2*8GB RAM/1TB SSD/15.6 WQHD 165hz/RTX 3070 8GB/Win10/Balo/Chuột/Đen)	Laptop Asus	AMD Ryzen 9 5900HX	16GB	1TB SSD	NVIDIA RTX 3070 8GB	15.6 inch WQHD 165hz	60599000	54999000
Laptop Asus Gaming ROG Strix G533QR-HF113T (Ryzen 9 5900HX/2*8GB RAM/1TB SSD/15.6 FHD 300hz/RTX 3070 8GB/Win10/Balo/Chuột/Đen)	Laptop Asus	AMD Ryzen 9 5900HX	16GB	1TB SSD	NVIDIA RTX 3070 8GB	15.6 inch FHD 300hz	60599000	54999000
Laptop LG Gram 17Z90P-G.AH76A5 (i7 1165G7/16GB/512GB SSD/17.0/Win10/Bạc)	Laptop LG						None	48999000
Surface Laptop 4 (SPB-00001/5PB-00001)(R5 4680U/8GB RAM/256GB SSD/13.5/Win10/Bạc)(Bảo hành tại HACOM)	Microsoft Surface	AMD R5 4680U	8GB	256GB SSD	Onboard	13.5 inch	28279000	26499000
