Name	Link
"Laptop ASUS TUF Gaming FX706HC-HX003T 90NR0733-M00460 ( 17.3"" Full HD/Intel Core i5-11400H/8GB/512GB SSD/NVIDIA GeForce RTX 3050/Windows 10 Home 64-bit/2.6kg)"	https://phongvu.vn/may-tinh-xach-tay-laptop-asus-tuf-gaming-fx706hc-hx003t-xam-i5-11400h-s210700874.html?sku=210700874
"Laptop ACER Nitro 5 AN515-57-77KU NH.QDGSV.001 ( 15.6"" Quad HD (2K)/ 165Hz/Intel Core i7-11800H/16GB/512GB SSD/NVIDIA GeForce RTX 3060/Windows 10 Home 64-bit/2.2kg)"	https://phongvu.vn/may-tinh-xach-tay-laptop-acer-nitro-5-an515-57-77ku-nh-qdgsv-001-i7-11800h-den-s210701137.html?sku=210701137
Laptop Doanh Nghiệp Dell Latitude 3420 L3420I3SSD ( 14inch Intel Core i3-1115G4/8GB/256GB SSD/Fedora/1.5kg)	https://phongvu.vn/may-tinh-xach-tay-laptop-dell-latitude-3420-l3420i3ssd-i3-1115g4-xam-dam-s210701155.html?sku=210701155
"Laptop ACER Nitro 5 AN515-57-57MX NH.QD9SV.002 ( 15.6"" Full HD/ 144Hz/Intel Core i5-11400H/8GB/512GB SSD/NVIDIA GeForce RTX 3050Ti/Windows 10 Home 64-bit/2.2kg)"	https://phongvu.vn/may-tinh-xach-tay-laptop-acer-nitro-5-an515-57-57mx-nh-qd9sv-002-i5-11400h-den-s210701161.html?sku=210701161
"Laptop ASUS UX325EA-KG363T ( 13.3"" Full HD/Intel Core i5-1135G7/8GB/512GB SSD/Windows 10 Home SL 64-bit/1.1kg)"	https://phongvu.vn/may-tinh-xach-tay-laptop-asus-ux325ea-kg363t-i5-1135g7-xam-s210701593.html?sku=210701593
"Laptop ACER Predator Helios 300 PH315-54-75YD NH.QC2SV.002 ( 15.6"" Quad HD+ (2K)/ 165Hz/Intel Core i7-11800H/16GB/512GB SSD/NVIDIA GeForce RTX 3060/Windows 10 Home 64-bit/2.3kg)"	https://phongvu.vn/may-tinh-xach-tay-laptop-acer-predator-helios-300-ph315-54-75yd-nh-qc2sv-002-i7-11800h-den-s210801045.html?sku=210801045
"Laptop Dell Inspiron 14 5402 5402-GVCNH2 ( 14"" Full HD/Intel Core i5-1135G7/4GB/256GB SSD/NVIDIA GeForce MX330/Windows 10 Home SL 64-bit/1.4kg)"	https://phongvu.vn/may-tinh-xach-tay-laptop-dell-inspiron-14-5402-5402-gvcnh2-i5-1135g7-bac-s210900267.html?sku=210900267
"Laptop MSI Modern 14 B5M 064VN ( 14"" Full HD/AMD Ryzen 5 5500U/8GB/512GB SSD/Windows 10 Home 64-bit/1.3kg)"	https://phongvu.vn/may-tinh-xach-tay-laptop-msi-modern-14-b5m-064vn-amd-ryzen-5-5500u-xam-s210900299.html?sku=210900299
"Laptop ASUS A515EP-BQ498T 90NB0SJ2-M06470 ( 15.6"" Full HD/Intel Core i5-1135G7/8GB/512GB SSD/NVIDIA GeForce MX330/Windows 10 Home 64-bit/1.8kg)"	https://phongvu.vn/may-tinh-xach-tay-laptop-asus-a515ep-bq498t-i5-1135g7-bac-s210900359.html?sku=210900359
"Laptop Lenovo Legion 5 Pro 16ITH6H 82JD0046VN ( 16"" WUXGA/Intel Core i7-11800H/16GB/512GB SSD/NVIDIA GeForce RTX 3060/Windows 10 Home 64-bit/2.3kg)"	https://phongvu.vn/may-tinh-xach-tay-laptop-lenovo-legion-5-pro-16ith6h-82jd0046vn-i7-11800h-trang-s210900507.html?sku=210900507
