Name,Producer,CPU,Ram,Type disk,Capacity,Type GPU,VRAM,Size Display,Relu Display,Price
laptop asus rog zephyrus g14 ga401qh-hz035t (ryzen 7-5800hs | 8gb | 512gb | gtx 1650 4gb | 14.0 inch fhd | win 10 | xám),asus,R7,8,1,512,1,4,14,1920x1080,28840000
laptop lenovo ideapad 5 15alc05 82ln00cdvn (ryzen™ 7-5700u | 8gb | 512gb | amd radeon | 15.6 inch fhd | win 10 | xám),lenovo,R7,8,1,512,0,0,15.6,1920x1080,19590000
laptop acer gaming predator triton 300 pt315-53-75lq nh.qdqsv.001 (core™ i7-11800h | 16gb | 512gb | rtx 3060 6gb | 15.6 inch qhd | win 10 | ?en),acer,I7,16,1,512,1,6,15.6,2560x1440,44449500
laptop dell vostro 3400 v4i7015w (core i7-1165g7/ram 8gb/512gb ssd/ mx330 2gb/ 14 inch fhd/ win 10/ ?en),dell,I7,8,1,512,1,2,14,1920x1080,24240000
laptop dell inspiron 15 3505 y1n1t3 (ryzen™ 3-3250u | 8gb | 256gb | amd radeon | 15.6 inch fhd | win 10 | office home | ?en),dell,R3,8,1,256,0,0,15.6,1920x1080,15740000
laptop hp 15s-du1105tu 2z6l3pa (core™ i3-10110u | 4gb | 256gb | intel® uhd | 15.6 inch hd | win 10 | b?c),hp,I3,4,1,256,0,0,15.6,1366x768,13890000
laptop acer aspire 5 a514-54-54jf nx.a23sv.00q (core™ i5-1135g7 | 16gb | 256gb | intel® iris® xe | 14.0 inch fhd | win 10 pro | b?c),acer,I5,16,1,256,0,0,14,1920x1080,19795000
laptop hp zbook firefly 14 g8 mobile workstation 1a2f1av-i5-16g-ddr4-3200 (core i5-1135g7 | 16gb | 512gb | intel iris xe | 14 inch fhd | win 10 pro | b?c),hp,I5,16,1,512,0,0,14,1920x1080,33895000
laptop asus rog zephyrus g14 ga401qec-k2064t (ryzen 9-5900hs | 16gb | 1tb | rtx™ 3050 ti 4gb | 14.0 inch qhd | win 10 | xám),asus,R9,16,1,1024,1,4,14,2560x1440,48490000
laptop lenovo thinkpad l13 gen 2 20vh0049va (core™ i5-1135g7 | 8gb | 512gb | intel iris xe | 13.3 inch fhd | freedos | ?en),lenovo,I5,8,1,512,0,0,13.3,1920x1080,24744500
laptop lenovo v15 g2 itl 82kb00cqvn (core™ i7-1165g7 | 8gb | 512gb | mx350 2gb | 15.6 inch fhd | win 10 | xám),lenovo,I3,8,1,256,0,0,15.6,1920x1080,21790000
laptop lenovo v15 g2 itl 82kb00ckvn (core™ i7-1165g7 | 8gb | 512gb | intel iris xe | 15.6 inch fhd | win 10 | ?en),lenovo,I7,8,1,512,0,0,15.6,1920x1080,20290000
laptop lenovo ideapad 3 15itl05 81x80055us (core™ i3-1115g4 | 4gb | 128gb | intel uhd | 15.6 inch fhd | win 10 | xanh | nh?p kh?u chính hãng),lenovo,I3,4,1,128,0,0,15.6,1920x1080,13490000
laptop acer nitro 5 eagle an515-57-54mv nh.qensv.003 (core i5-11400h | 8gb | 512gb | rtx™ 3050 4gb | 15.6 inch fhd | win 11 | ?en),acer,I5,8,1,512,1,4,15.6,1920x1080,26490000
laptop hp 240 g8 519a7pa (core™ i3-1005g1 | 4gb | 256gb | intel® uhd | 14 inch fhd | win 10 | b?c),hp,I3,4,1,256,0,0,14,1920x1080,13740000
laptop hp 240 g8 518v6pa (core™ i5-1135g7 | 8gb | 256gb | intel® iris® xe | 14 inch fhd | win 10 | b?c),hp,I5,8,1,256,0,0,14,1920x1080,17840000
laptop hp pavilion 15-eg0542tu 4p5g9pa (core i3-1125g4 | 4gb | 256gb | intel® uhd | 15.6 inch fhd | win 11 | b?c),hp,I3,4,1,256,0,0,15.6,1920x1080,15590000
laptop hp pavilion 15-eg0513tu 46m12pa (core i3-1125g4 | 4gb | 256gb | intel uhd | 15.6 inch fhd | win 10 | vàng),hp,I3,4,1,256,0,0,15.6,1920x1080,15590000
laptop asus rog strix scar 15 g533qr-hf113t (ryzen 9-5900hx | 16gb | 1tb ssd | rtx 3070 8gb | 15.6 inch fhd | win 10 | ?en),asus,R9,16,1,1024,1,8,15.6,1920x1080,59850000
laptop asus tuf dash f15 fx516pc-hn001t (core i7-11370h | 8gb | 512gb | rtx 3050 4gb | 15.6 inch fhd | win 10 | eclipse gray),asus,I7,8,0,512,1,4,15.6,1920x1080,28840000
laptop lenovo ideapad 3 15itl6 82h80043vn (core i5-1135g7 | 8gb | 512gb | intel iris xe | 15.6 inch fhd | win 10 | xanh),lenovo,I5,8,1,512,0,0,15.6,1920x1080,18290000
laptop asus rog zephyrus g15 ga503qs-hq052t,asus,R9,32,0,1024,1,8,15.6,2560x1440,69895000
laptop dell vostro 5415 v4r55500u015w (ryzen™ 5-5500u | 8gb | 512gb | amd redeon | 14-inch fhd | win 10 | office | xám),dell,R5,8,1,512,0,0,14,1920x1080,20690000
laptop dell vostro 14 3400 yx51w3 (core™ i5-1135g7 | 8gb | 512gb | mx330 2gb | 14-inch fhd | win 10 | office | ?en),dell,I5,8,0,512,1,2,14,1920x1080,22490000
laptop dell vostro 13 5310 yv5wy1 (core i5-11300h | 8gb | 512gb | intel iris xe | 13.3 inch fhd+ | win 10 | xám),dell,I5,8,1,512,0,0,13.3,1920x1200,23790000
laptop apple macbook air 13.3 inch z12a0004z vàng (apple m1),apple,M1,16,1,256,0,0,13.3,2560x1600,32990000
laptop dell vostro 14 3400 yx51w2 (core i5-1135g7/ram 8gb/256gb ssd/ mx330 2gb/ 14 inch fhd/ win 10/ ?en),dell,I5,8,0,256,1,2,14,1920x1080,22240000
laptop dell vostro 14 3400 yx51w1 (core i5-1135g7/ram 4gb/256gb ssd/ mx330 2gb/ 14 inch fhd/ win 10/ ?en),dell,I5,4,0,256,1,2,14,1920x1080,21040000
laptop hp omen 16-b0142tx 4y0z8pa (core i5-11400h | 16gb | 1tb ssd + 32gb ssd | rtx 3050ti 4gb | 16.1 inch fhd | win 10 | shadow black),hp,I5,16,1,1024,1,4,16.1,1920x1080,39390000
laptop dell inspiron 14 5410 70262927 (core™ i5-1155g7 | 8gb | 512gb | intel iris xe | 14.0 inch fhd | win 10 | office | b?c),dell,I5,8,1,512,0,0,14,1920x1080,24690000
laptop msi modern 14 b5m 064vn (ryzen™ 5-5500u | 8gb | 512gb | amd radeon™ | 14 inch fhd | win 10 | xám),msi,R5,8,1,512,0,0,14,1920x1080,17590000
laptop asus x415ea-ek560t (core™ i3-1115g4 | 4gb | 256gb | intel® uhd | 14.0-inch fhd | win 10 | xám),asus,I3,4,1,256,0,0,14,1920x1080,13740000
laptop lenovo ideapad 5 15itl05 82fg00m5vn (core i5-1135g7 | 8gb | 512gb | intel iris xe | 15.6 inch fhd | win 10 | xanh),lenovo,I5,8,1,512,0,0,15.6,1920x1080,19390000
laptop dell inspiron 15 n3505 y1n1t1,dell,R3,8,1,256,0,0,15.6,1920x1080,14740000
laptop msi modern 14 b11mou 851vn (core i3-1115g4 | 8gb | 256gb | intel uhd | 14 inch fhd | win 10 | gray),msi,I3,8,1,256,0,0,14,1920x1080,14990000
laptop gaming asus rog zephyrus g15 ga503qe-hq078t (ryzen 9-5900hx | 16gb | 512gb | rtx™ 3050 ti 4gb | 15.6 inch wqhd | win 10 | eclipse gray),gaming,R9,16,1,512,1,4,15.6,2560x1440,39740000
laptop acer swift 3 sf314-511-59lv- nx.abnsv.001 (core i5-1135g7 | 16gb | 512gb | intel iris xe | 14 inch fhd | win 10 | b?c),acer,I5,16,1,512,0,0,14,1920x1080,22890000
laptop asus zenbook flip s ux371ea-hl494ts (i7-1165g7 | 16gb | 1tb ssd | intel iris xe | 13.3 inch uhd | win 10 | office | ?en),asus,I7,16,1,1024,0,0,13.3,3840x2160,41940000
laptop msi katana gf76 11uc 096vn (core i7-11800h | 8gb | 512gb | rtx 3050 4gb | 17.3 inch fhd | win 10 | ?en),msi,I7,8,1,512,1,4,17.3,1920x1080,30940000
