Name	CPU	RAM	GPU	DISK	DISPLAY	Old Price	New Price
Laptop HP Probook 430 G8 2H0N8PA (Core i5-1135G7 | 8GB | 256GB | Intel Iris Xe | 13.3 inch FHD | Win 10 | Bạc)	Intel® Core i5-1135G7	8GB(1 x 8GB) DDR4-3200Mhz	Intel® Iris® Xe Graphics	256GB PCIe® NVMe™ SSD	13.3 inch, FHD (1920 x 1080), IPS, narrow bezel, anti-glare, 250 nits, 45% NTSC	20990000	20390000
Laptop HP Probook 430 G8 2H0N7PA (Core i5-1135G7 | 4GB | 512GB | Intel Iris Xe | 13.3 inch FHD | Win 10 | Bạc)	Intel® Core i5-1135G7	4GB(1 x 4GB) DDR4-3200Mhz	Intel® Iris® Xe Graphics	512GB PCIe® NVMe™ SSD	13.3 inch, FHD (1920 x 1080), IPS, narrow bezel, anti-glare, 250 nits, 45% NTSC	20990000	20590000
Laptop HP 340s G7 36A36PA (Core i7-1065G7 | 8GB | 256GB | Intel Iris Plus | 14.0 inch FHD | Win 10 | Xám)	Intel® Core™ i7-1065G7	8GB(1 x 8GB) DDR4-2666Mhz	Intel® Iris® Plus Graphics	256GB PCIe® NVMe™ SSD	14.0 inch FHD (1920 x 1080), IPS, anti-glare, 250 nits, 45% NTSC	21590000	20890000
Laptop HP 340s G7 36A43PA (Core i5-1035G1 | 8GB | 256GB | Intel UHD | 14.0 inch FHD | Win 10 | Xám)	Intel® Core™ i5-1035G1	8GB(1 x 8GB) DDR4-3200Mhz	Intel® UHD Graphics	256GB PCIe® NVMe™ SSD	14.0 inch FHD (1920 x 1080), IPS, anti-glare, 250 nits, 45% NTSC	17990000	17690000
Laptop MSI Prestige 14 A11SCX 282VN	Intel® Core™ i7-1185G7	8GB LPDDR4 onboard	NVIDIA® GeForce® GTX1650 Max-Q 4GB GDDR6	512GB NVMe PCIe Gen4x4 SSD	14.0 inch FHD (1920*1080), IPS-Level 60Hz 72%NTSC Thin Bezel, close to 100%sRGB	32990000	31490000
Laptop HP 14s-dq2550TU 470D5PA (Core i7-1165G7 | 8GB | 512GB | Intel Iris Xe | 14 inch HD | Win 10 | Bạc)	Intel® Core i7-1165G7	8GB (2 x 4GB) DDR4-3200MHz	Intel® Iris® Xe Graphics	512GB PCIe® NVMe™ M.2 SSD	14 inch HD (1366 x 768), micro-edge, BrightView, 250 nits, 45% NTSC	21590000	20890000
Laptop Asus ROG Flow X13 GV301QC-K6052T (Ryzen 9-5900HS | 16GB | 512GB | RTX 3050 4GB | 13.4 inch FHD | Win 10 | Đen)	AMD Ryzen™ 9-5900HS	16GB[On board] DDR4 3200MHz (1x SO-DIMM slot)	NVIDIA® GeForce® RTX 3050 4GB GDDR6	512GB SSD M.2 NVMe PCIe	13.4 inch 16:10 FHD (1920 x 1200) IPS 120Hz, 100% sRGB, Pantone Validated, AdaptiveSync, Gorilla Glass	39990000	38790000
Laptop Asus ROG Zephyrus G14 GA401QC-HZ100T (Ryzen 9-5900HS | 16GB | 512GB | RTX 3050 4GB | 14.0 inch FHD | Win 10 | Trắng)	AMD Ryzen™9-5900HS	16GB(8GBDDR4onboard + 8GB DDR4-3200Mhz SO-DIMM)	NVIDIA® GeForce® RTX 3050 4GB GDDR6	512GB SSD M.2 NVMe PCIe	14.0 inch FHD (1920 x 1080) IPS, 100% sRGB, 300nits, 144Hz Nanoedge, Pantone Validated Display	38990000	37990000
Laptop MSI GP76 Leopard 11UG 280VN (Core i7-11800H | 16GB | 1TB SSD | RTX 3070 8GB | 17.3 inch FHD | Win 10 | Đen)	Intel® Core™ i7-11800H	16GB (8GBx2) DDR4 3200MHz	nVidia Geforce RTX 3070 8GB GDDR6	1TB NVMe PCIe Gen4x4 SSD	17.3 inch FHD (1920*1080), 240Hz, close to 100%sRGB	52990000	51490000
Laptop Fujitsu Lifebook U7411 (Core i5-1135G7 | 8GB | 512GB | Intel Iris |14.0 inch FHD | FreeDos | Đen)	Intel® Core™ i5-1135G7	8GB DDR4 3200Mhz	Intel® Iris® Xe Graphics	512GB PCIe G3 M.2 2230	14.0 inch FHD (1920x1080) Anti-glare IPS, magnesium,700:1,300 cd/m² Chống lóa - cảm ứng	51490000	Liên hệ
Laptop Fujitsu Lifebook U7311 (Core i5-1135G7 | 8GB | 512GB | Intel® Iris | 13.3 inch FHD | FreeDos | Đen)	Intel® Core™ i5-1135G7	8GB DDR4 3200Mhz	Intel® Iris® Xe Graphics	512GB Value-PCIe G3 M.2 SED (FDE / Opal2.0)	13.3 inch FHD (1920x1080) WVA, antiglare, 700:1, 300 cd/m², với bảng điều khiển cảm ứng	None	Liên hệ
Laptop Dell Vostro 5410 V4I5214W (Core i5-11320H | 8GB | 512GB | Intel Iris Xe | 14.0 inch FHD | Win 10 | Office | Xám)	Intel® Core i5-11320H	8GB(8GBx1) DDR4 3200Mhz	Intel Iris Xe Graphics	512GB SSD NVMe M.2	14.0 inch FHD (1920x1080)Anti-Glare LED Backlight Non-Touch Narrow Border WVA Display	23990000	22990000
Laptop Apple Macbook Pro 2020 MWP52SA/A (Space Grey)	Intel Core i5	16GB LPDDR4 3733 MHz	Intel Iris Plus Graphics 645	1TBSSD	13.3 inch Retina	22990000	Liên hệ
Laptop Asus Vivobook A515EA-L11171T (Core™ i5-1135G7 | 8GB | 512GB | Intel® Iris® Xe | 15.6-inch FHD | Win 10 | Đen)	Intel® Core™ i5-1135G7	8GB DDR4 on board	Intel® Iris® Xe Graphics	512GB M.2 NVMe™ PCIe® 3.0 SSD	15.6-inch FHD (1920 x 1080) 16:9, OLED, 400nits, Glossy display	20590000	20190000
Laptop ASUS TUF Gaming F15 FX506HCB-HN139T (Core i5-11400H | 8GB | 512GB | RTX™ 3050 4GB | 15.6 inch FHD | Win 10 | Eclipse Gray)	Intel® Core™ i5-11400H	8GB DDR4-2933Mhz	NVIDIA®GeForceRTX™3050 4GB GDDR6	512GB M.2 NVMe™ PCIe® 3.0 SSD	15.6 inch FHD (1920x1080) IPS, 16:9, 250nit , anti-glare display, Adaptive-Sync, 144hz	25990000	25690000
Laptop Asus Vivobook Pro 14 OLED M3401QA-KM040T (Ryzen™ 7-5800H | 8GB | 512GB | AMD Radeon | 14.0-inch WQXGA+ | Win 10 | Xanh)	AMD Ryzen™ 7-5800H	8GB DDR4 on board	AMD Radeon™ Graphics	512GB M.2 NVMe™ PCIe® 3.0 SSD	14.0-inch WQXGA+ (2880 x 1800) 16:10, OLED, 400nits, DCI-P3: 100%, Pantone Validated, 90Hz	22990000	22890000
Laptop ASUS TUF Gaming F15 FX506HCB-HN1138W (Core™ i5-11400H | 8GB | 512GB | RTX™ 3050 4GB | 15.6 inch FHD | Win 11 | Xám)	Intel® Core™ i5-11400H	8GB DDR4-3200Mhz SO-DIMM	NVIDIA®GeForceRTX™3050 4GB GDDR6	512GB M.2 NVMe™ PCIe® 3.0 SSD	15.6 inch FHD (1920x1080) IPS, 16:9, 250nit , anti-glare display, Adaptive-Sync, 144hz	26990000	25990000
Laptop Asus Vivobook Pro 15 OLED M3500QC-L1085T (Ryzen™ 7-5800H | 16GB | 512GB | RTX™ 3050 4GB | 15.6-inch FHD | Win 10 | Quiet Blue)	AMD Ryzen™ 7-5800H	16GB DDR4 on board	NVIDIA®GeForce®RTX™3050 4GB GDDR6	512GB M.2 NVMe™ PCIe® 3.0 SSD	15.6-inch FHD (1920 x 1080) OLED 16:9 aspect ratio, 600nits peak brightness, 100% DCI-P3 color gamut	30290000	29990000
Laptop Asus Vivobook Pro 15 OLED M3500QC-L1105T (Ryzen™ 5-5600H | 8GB | 512GB | RTX™ 3050 4GB | 15.6-inch FHD | Win 10 | Quiet Blue)	AMD Ryzen™ 5-5600H	8GB DDR4 on board	NVIDIA®GeForce®RTX™3050 4GB GDDR6	512GB M.2 NVMe™ PCIe® 3.0 SSD	15.6-inch FHD (1920 x 1080) OLED 16:9 aspect ratio, 600nits peak brightness, 100% DCI-P3 color gamut	26990000	26590000
Laptop MSI Prestige 15 A11SCX 210VN	Intel® Core™ i7-1185G7	32GB (16GB*2) DDR4 3200MHz	NVIDIA® GeForce® GTX 1650 Max-Q 4GB GDDR6	1TB NVMe PCIe Gen4x4 SSD	"15.6"" UHD (3840*2160), 4K Thin Bezel, Adobe 100%"	46990000	44690000
Laptop Dell Inspiron 3501 70253897 (Core i5-1135G7 | 8GB | 512GB | MX330 2GB | 15.6 Inch FHD | Win 10 + Office | Đen)	Intel Core i5-1135G7	8GB (8GBx1) DDR4 3200MHz	NVIDIA GEFORCE MX330 2GB GDDR5	512GB M.2 PCIe Gen3 x4 NVMe	15.6 Inch FHD (1920 x 1080) Anti-Glare 220nits	22490000	21590000
Laptop Dell Inspiron N3501B P90F002N3501B	Intel Core i5-1135G7	4GB DDR4 2666MHz	Intel Iris Graphics	512GB M.2 SSD	15.6-inch FHD (1920 x1080) Anti-Glare	19590000	18890000
Laptop Asus ExpertBook B5 Flip OLED B5302FEA-LG0557T (Core™ i5-1135G7 | 8GB | 512GB | Intel Iris Xe | 13.3-inch FHD | Cảm ứng | Win 10 | Đen)	Intel® Core™ i5-1135G7	8GB DDR4 on board	IntelIrisXeGraphics	512GB M.2 NVMe™ PCIe® 3.0 SSD	13.3-inch FHD (1920 x 1080) 16:9, LED Backlit, Anti-glare display, sRGB: 100% - Cảm ứng	24590000	24190000
Laptop Asus ExpertBook B5 Flip OLED B5302FEA-LG0478T (Core™ i5-1135G7 | 8GB | 512GB | Intel Iris Xe | 13.3-inch FHD | Cảm ứng | Win 10 | Đen | Numpad)	Intel® Core™ i5-1135G7	8GB DDR4 on board	IntelIrisXeGraphics	512GB M.2 NVMe™ PCIe® 3.0 SSD	13.3-inch FHD (1920 x 1080) 16:9, LED Backlit, Anti-glare display, sRGB: 100% - Cảm ứng	25190000	24990000
Laptop MSI Modern 14 B11SBU 668VN (Core™ i5-1155G7 | 8GB | 512GB | MX450 2GB | 14 inch FHD | Win 10 | Xám)	Intel® Core™ i5-1155G7	8GB(8GBX1)DDR4 3200MHz	nVidia GeForce® MX450 2GB GDDR5	512GB NVMe PCIe Gen3x4 SSD (new)	14 inch FHD (1920*1080), IPS-Level 60Hz 45%NTSC Thin Bezel	22990000	22390000
Laptop Acer Gaming Predator Triton 500 SE PT516-51s-71RW NH.QAKSV.001 (Core™ i7-11800H | 16GB | 1TB SSD | RTX 3080 8GB | 16 inch WQXGA | Win 10 | Steel Gray)	Intel® Core™ i7-11800H	16GB DDR4 3200MHz	NVIDIA® GeForce RTX 3080 8GB GDDR6	1TB PCIe NVMe SED SSD	16 inch WQXGA (2560 x 1600) SlimBezel 165Hz, 500 nits, 100% sRGB, Acer ComfyView LED-backlit TFT LCD	79000000	78990000
Laptop Dell Vostro 5510 70253901 (Core™ i5-11300H | 8GB | 512GB | Intel Iris Xe | 15.6-inch FHD | Win 10)	Intel® Core i5-11300H	8GB DDR4 3200MHz	Intel Iris Xe Graphics	512GB M.2 PCIe NVMe	15.6-inch FHD (1920 x 1080) Anti-glare LED Backlight Non-Touch Narrow Border WVA Display	23190000	22590000
Laptop Dell Vostro 5410 V4I5014W (Core i5-11300H | 8GB | 512GB | Intel Iris Xe | 14.0 inch FHD | Win 10 | Xám)	Intel® Core i5-11300H	8GB(8GBx1) DDR4 3200Mhz	Intel Iris Xe Graphics	512GB SSD NVMe	14.0 inch FHD (1920x1080)Anti-Glare LED Backlight Non-Touch Narrow Border WVA Display	23590000	22790000
Laptop MSI Modern 15 A10MU-667VN (Core™ i5-10210U | 8GB | 512GB | Intel UHD | 15.6 inch FHD | Win 10 | Xám)	Intel® Core™ i5-10210U	8GB DDR4 3200MHz	Intel UHD Graphics	512GB NVMe PCIe Gen3x4 SSD	15.6 inch FHD (1920*1080), 60Hz 45%NTSC IPS-Level	22790000	Liên hệ
Laptop Acer TravelMate B3 TMB311-31-P49D NX.VNFSV.005 (Pentium® Silver N5030 | 4GB | 256GB | Intel®UHD | 11.6 inch HD | Win 11 | Đen)	Intel® Pentium® Silver N5030	4GB DDR4 onboard 2400Mhz	Intel®UHD Graphics 605	256GB PCIe NVMe SSD cắm sẵn	11.6 inch HD (1366 x 768) Acer ComfyView LCD, 60Hz, Acer ComfyView LED-backlit TFT LCD	11990000	10990000
Laptop Acer TravelMate B3 TMB311-31-C2HB NX.VNFSV.006 (Celeron® N4020 | 4GB | 128GB | Intel®UHD | 11.6 inch HD | Win 11 | Đen)	Intel® Celeron® N4020	4GB DDR4 onboard 2400Mhz	Intel®UHD Graphics 605	128GB PCIe NVMe SSD cắm sẵn	11.6 inch HD (1366 x 768) Acer ComfyView LCD, 60Hz, Acer ComfyView LED-backlit TFT LCD	10990000	9990000
Laptop LG Gram 2021 17Z90P-G.AH78A5 (Core i7-1165G7 | 16GB | 1TB SSD | Intel Iris Xe | 17.0 inch WQXGA | Win 10 | Đen)	Intel® Core™ i7-1165G7	6GB LPDDR4 Buss 4266MHz	Intel Iris Xe Graphics	1TB PCIe® NVMe™ M.2 SSD	17.0 inch WQXGA (2560 x 1600) 16:10, IPS, sRGB 100%, DCI-P3 99%	54990000	51490000
Laptop Acer Predator Helios 500 PH517-52-96VD (Core i9-11980HK | 64GB/2TB SSD Raid 0 | 2TB HDD | RTX 3080 16GB | Win11 | 3S1 Onsite | 2K 165Hz)	Intel® Core™ i9-11980HK	64GB	None	2TB SSD 2TB HDD	17.3-inch WQHD (2560 x 1440) 16:9, 165Hz, IPS-level, 300nits, anti-glare display	None	None
Laptop Acer Predator Helios 500 PH517-52-99MM (Core i9-11980HK | 64GB/2TB SSD Raid 0 | 2TB HDD | RTX 3080 16GB | Win11 | 3S1 Onsite | 4K 120Hz MiniLED)	Intel® Core™ i9-11980HK	64GB	None	2TB SSD 2TB HDD	17.3-inch WQHD (2560 x 1440) 16:9, 165Hz, IPS-level, 300nits, anti-glare display	None	None
